Title,Price,Rating,Brand,RAM,Processor-Brand,Hard-Disk
Lenovo IdeaPad Slim 3 13th Gen Intel Core i7-13620...,65990,3.9,LENOVO,16GB,INTEL,512GB
Lenovo IdeaPad Slim 3 12th Gen Intel Core i5-12450...,53890,3.9,LENOVO,16GB,INTEL,512GB
(Refurbished) Lenovo ThinkPad 8th Gen Intel Core i...,17475,3.6,LENOVO,16GB,INTEL,512GB
Acer Aspire 3 Laptop Intel Core Celeron N4500 Proc...,23530,3.3,ACER,8GB,INTEL,512GB
"Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 15.6""...",31990,4.0,LENOVO,8GB,INTEL,512GB
(Refurbished) Lenovo ThinkPad 6th Gen Intel Core i...,13999,3.3,LENOVO,16GB,INTEL,512GB
(Refurbished) HP EliteBook 820 G4 7th Gen Intel Co...,14799,4.0,HP,8GB,INTEL,256GB
Lenovo IdeaPad Slim 3 13th Gen Core i3-1305U (8GB ...,25250,3.0,LENOVO,8GB,INTEL,512GB
"HP 15, 13th Gen Intel Core i5-1334U, 16GB DDR4, 51...",54990,3.9,HP,16GB,INTEL,512GB
"HP Laptop 250R G9 (2024), Intel Core i3 13th Gen 1...",34499,5.0,HP,16GB,INTEL,512GB
"Lenovo ThinkPad E14 Intel Core i5 13th Gen 14"" WUX...",74990,5.0,LENOVO,16GB,INTEL,1TB
"Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 15.6""...",31990,4.0,LENOVO,8GB,INTEL,512GB
Lenovo V14 G3 Intel Core i5 12th Gen 1235U /16GB/5...,38749,3.3,LENOVO,16GB,INTEL,512GB
"HP 15s, 12th Gen Intel Core i3-1215U, 8GB DDR4, 51...",37000,4.1,HP,8GB,INTEL,512GB
"Apple MacBook Air Laptop: Apple M1 chip, 13.3-inch...",69990,4.6,APPLE,8GB,APPLE,256GB
"ASUS Vivobook 16X, 16"" FHD+, 144Hz 300nits, Intel ...",59990,3.8,ASUS,16GB,INTEL,512GB
(Refurbished) Dell Latitude Laptop 5400 Intel Core...,17725,3.5,DELL,16GB,INTEL,512GB
Dell Inspiron 15 3535 Laptop – 15.6 inch FHD (39.6...,29990,3.9,DELL,8GB,AMD,512GB
HP Laptop 255 G9 AMD Ryzen 3 3250U Dual Core - (8G...,25599,4.7,HP,8GB,AMD,512GB
Acer Aspire 3 Laptop Intel Core Celeron N4500 Proc...,21990,3.3,ACER,8GB,INTEL,512GB
Lenovo IdeaPad Slim 3 12th Gen Intel Core i5-12450...,49800,4.0,LENOVO,16GB,INTEL,512GB
"Lenovo IdeaPad Slim 1 Intel Core Celeron N4020 14""...",23990,3.3,LENOVO,8GB,INTEL,512GB
"Lenovo ThinkPad E16 Intel Core i5 13th Gen 16"" WUX...",68100,3.2,LENOVO,16GB,INTEL,512GB
"Lenovo ThinkPad E14 Intel Core i5 13th Gen 14"" WUX...",74990,5.0,LENOVO,16GB,INTEL,1TB
"HP Laptop 255 G9 (2024), AMD Ryzen 5 5625U Hexa Co...",29990,4.5,HP,8GB,AMD,512GB
Acer Chromebook CB315-4H Intel Celeron N4500 (Chro...,16490,3.6,ACER,8GB,INTEL,128GB
Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB L...,24990,4.1,LENOVO,8GB,AMD,512GB
"Lenovo V15 AMD Ryzen 7 7730U 15.6"" (39.62cm) FHD 2...",39490,5.0,LENOVO,16GB,AMD,512GB
JioBook 11 with Lifetime Office/Android 4G Laptop ...,12750,3.0,JIOBOOK,4GB,MEDIATEK,64GB
Acer Predator Helios Neo 16 Intel Core i7 14th Gen...,116990,4.0,ACER,16GB,INTEL,512GB
(Refurbished) Lenovo ThinkPad X270 7th Gen Intel C...,19999,3.9,LENOVO,16GB,INTEL,1TB
HP 15s Ryzen 5000 (16GB RAM/512GB SSD/FHD/Windows ...,42990,4.0,HP,16GB,AMD,512GB
"Lenovo ThinkPad E14 Intel Core i3 13th Gen 14"" WUX...",48590,3.7,LENOVO,8GB,INTEL,512GB
"Lenovo ThinkPad E14 Intel Core i7 13th Gen 14"" WUX...",87990,1.0,LENOVO,16GB,INTEL,512GB
